cell_id,latitude,longitude,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
C081,23.8457792169527,90.37500915884446,32.29727272727274,31.13400000000007,30.719090909090937,31.933636363636367,31.76285714285717,34.08777777777783,33.33000000000004,31.434444444444466,33.66076923076923,31.939090909090964,30.72800000000001
C082,23.8457792169527,90.38399231168566,32.686666666666724,32.198888888888916,30.946363636363685,32.03909090909093,32.62142857142862,34.51666666666671,33.700000000000045,32.652222222222235,34.25461538461542,32.35727272727274,31.26800000000003
C083,23.8457792169527,90.39297546452686,33.703333333333376,33.170000000000016,30.76636363636368,32.63545454545459,33.26285714285717,35.29222222222228,34.495000000000005,33.50555555555559,35.150000000000034,33.51400000000007,32.108000000000004
C084,23.8457792169527,90.40195861736805,34.21833333333336,33.610000000000014,31.796153846153857,33.07181818181823,33.80142857142863,35.670000000000016,35.37500000000006,34.421111111111145,36.46230769230772,34.80200000000002,32.690000000000055
C085,23.8457792169527,90.41094177020925,33.17285714285714,32.431818181818244,31.510000000000048,31.91833333333335,32.67133333333339,34.89400000000006,35.29545454545456,33.85888888888894,35.268461538461565,34.936000000000035,32.25400000000002
C086,23.8457792169527,90.41992492305044,32.28000000000003,31.495000000000005,30.539230769230812,31.323846153846205,32.123333333333335,33.96600000000001,34.110000000000014,32.346000000000004,34.2146153846154,32.884545454545446,31.413636363636385
C087,23.8457792169527,90.42890807589164,31.91307692307697,30.748461538461527,29.885000000000048,30.631666666666717,31.415333333333365,33.01666666666671,33.22636363636366,31.75444444444446,32.88384615384621,32.17500000000001,30.275000000000034
C088,23.8457792169527,90.43789122873284,31.21285714285716,30.46384615384619,29.450000000000045,30.513333333333378,30.820666666666682,32.29599999999999,32.710000000000036,31.54777777777781,32.47769230769234,31.463333333333367,29.877272727272725
C089,23.8457792169527,90.44687438157403,30.941250000000025,30.437692307692316,29.69166666666672,30.44166666666672,30.937692307692316,32.04000000000002,32.10818181818183,31.188000000000045,32.1438461538462,31.180909090909097,30.200000000000045
C090,23.8457792169527,90.45585753441522,30.353750000000048,30.350000000000023,29.636666666666713,31.112000000000023,31.05000000000001,31.890000000000043,31.857272727272743,31.414444444444484,32.374615384615424,31.27909090909094,30.576000000000022
C091,23.8457792169527,90.46484068725641,30.077500000000043,30.41500000000002,29.38846153846157,31.03545454545457,31.535000000000025,32.47181818181821,32.61909090909097,32.512500000000045,32.894615384615406,32.23363636363638,30.668000000000006
C092,23.8457792169527,90.47382384009761,32.04714285714289,31.53000000000003,30.278333333333364,31.593333333333362,32.1546153846154,34.19250000000005,33.18076923076927,33.097500000000025,33.89500000000004,32.58090909090913,30.82200000000006
C093,23.836796064111503,90.33907654747968,29.83000000000004,28.82000000000005,28.253076923076947,28.477142857142894,29.188571428571436,29.957272727272766,29.998000000000047,28.55400000000003,30.363333333333344,28.91307692307697,28.50090909090909
C094,23.836796064111503,90.34805970032087,29.870000000000005,28.606923076923124,28.173636363636376,28.39615384615388,29.325714285714298,30.200000000000045,30.346363636363662,29.04272727272729,30.64833333333337,29.53000000000003,28.80400000000003
C095,23.836796064111503,90.35704285316207,31.496153846153845,29.586923076923142,29.675454545454613,30.315000000000055,30.925384615384644,31.278333333333364,31.876666666666722,29.95833333333337,32.05166666666673,30.693076923076944,29.56800000000004
C096,23.836796064111503,90.36602600600327,32.788333333333355,30.81666666666672,30.8154545454546,31.051666666666733,31.7038461538462,33.196666666666715,32.84500000000003,30.720909090909117,33.01333333333338,32.23000000000002,30.466000000000008
C097,23.836796064111503,90.37500915884446,33.26333333333338,31.26818181818186,31.03727272727275,31.660909090909115,32.16714285714289,33.80111111111114,33.01000000000005,31.362727272727284,33.291666666666686,32.21909090909094,30.612000000000023
C098,23.836796064111503,90.38399231168566,32.39500000000004,31.128000000000043,30.873636363636365,31.32272727272732,31.855714285714328,33.94777777777779,33.08333333333337,31.938888888888926,33.30000000000001,32.377272727272725,30.812000000000012
C099,23.836796064111503,90.39297546452686,32.15500000000003,31.892222222222244,30.126666666666722,31.475454545454568,31.891428571428605,34.08555555555557,33.35833333333335,32.156666666666695,33.578333333333376,32.51400000000007,30.964000000000055
C100,23.836796064111503,90.40195861736805,32.86500000000001,32.60111111111115,30.746666666666727,32.05363636363637,32.65285714285716,34.440000000000055,34.1516666666667,32.7455555555556,34.25500000000005,33.30000000000001,31.864000000000033
C101,23.836796064111503,90.41094177020925,33.2714285714286,32.57200000000006,31.060909090909092,32.162727272727295,32.80733333333336,34.99444444444447,35.55545454545461,33.27000000000004,35.22833333333335,34.35000000000002,32.56600000000003
C102,23.836796064111503,90.41992492305044,32.90857142857146,31.510000000000048,31.44285714285718,32.185,32.639333333333354,34.83888888888896,35.2736363636364,33.35400000000004,35.13500000000005,33.84636363636366,32.416
C103,23.836796064111503,90.42890807589164,32.417692307692334,31.182857142857188,31.408571428571463,31.54818181818183,32.3006666666667,34.02000000000004,34.03363636363639,32.56400000000002,34.22500000000002,33.12272727272733,31.159090909090935
C104,23.836796064111503,90.43789122873284,31.968461538461554,31.453076923076935,31.017142857142915,30.945384615384626,31.630000000000052,33.52200000000005,33.3936363636364,32.09400000000005,33.217692307692346,32.416666666666686,30.424545454545466
C105,23.836796064111503,90.44687438157403,32.11400000000003,31.511666666666713,30.755000000000052,30.842307692307713,31.191428571428617,32.912000000000035,32.531666666666695,31.858000000000004,32.839230769230824,32.10666666666668,30.190000000000055
C106,23.836796064111503,90.45585753441522,31.82000000000005,31.11615384615385,30.936153846153843,31.619230769230796,31.54692307692312,32.98599999999999,32.45461538461541,31.603333333333353,32.87615384615384,32.10666666666668,30.355454545454563
C107,23.836796064111503,90.46484068725641,31.193750000000023,31.53000000000003,30.639090909090953,32.33545454545458,32.11833333333334,33.610000000000014,32.7146153846154,32.337500000000034,33.35615384615386,32.363333333333344,31.04111111111115
C108,23.836796064111503,90.47382384009761,30.91375000000005,31.433333333333337,30.53000000000003,32.37909090909096,32.24846153846153,34.262500000000045,33.06076923076927,32.86750000000001,33.84076923076924,32.74333333333334,30.78400000000005
C109,23.836796064111503,90.4828069929388,32.295714285714325,32.72454545454548,30.984000000000037,33.01200000000006,32.47923076923081,34.62500000000006,33.3869230769231,32.34777777777782,34.42666666666673,32.85166666666669,30.984000000000037
C110,23.82781291127031,90.33907654747968,29.699230769230837,28.56636363636369,28.140000000000043,28.6357142857143,28.984666666666726,29.75769230769231,30.117999999999995,28.702000000000055,30.69500000000005,29.39615384615388,28.55400000000003
C111,23.82781291127031,90.34805970032087,30.814615384615422,29.193333333333328,29.366000000000042,29.756153846153836,30.785714285714278,31.27181818181822,31.818333333333328,30.057272727272732,32.09333333333336,30.785384615384658,29.644000000000062
C112,23.82781291127031,90.35704285316207,33.7166666666667,31.160909090909115,31.130000000000052,31.393333333333374,32.28076923076924,33.25727272727278,33.699090909090955,31.702000000000055,33.77333333333337,32.09769230769234,30.980000000000018
C113,23.82781291127031,90.36602600600327,34.3366666666667,32.2918181818182,32.44090909090909,33.179090909090974,33.4715384615385,34.624000000000024,34.13000000000005,32.21600000000001,34.690000000000055,32.645384615384614,31.484000000000037
C114,23.82781291127031,90.37500915884446,34.328333333333376,32.446363636363685,32.682727272727334,33.03909090909093,33.48000000000002,35.03000000000003,34.24000000000001,32.46454545454549,34.685,32.92833333333334,31.686000000000035
C115,23.82781291127031,90.38399231168566,32.9616666666667,31.838000000000022,31.048333333333346,32.13363636363641,32.30857142857144,34.48400000000004,33.897272727272764,32.33200000000005,34.04333333333335,32.80833333333334,31.474000000000046
C116,23.82781291127031,90.39297546452686,32.531666666666695,32.19400000000002,30.534615384615392,31.742307692307747,32.40857142857146,34.51727272727277,33.931818181818244,32.239090909090976,33.642307692307725,32.97000000000003,31.52800000000002
C117,23.82781291127031,90.40195861736805,32.99333333333334,32.33000000000004,30.4616666666667,31.58846153846156,32.48000000000002,34.03000000000003,34.413636363636385,32.49800000000005,33.83769230769235,33.00272727272733,31.450000000000045
C118,23.82781291127031,90.41094177020925,33.34692307692313,32.61222222222227,31.059230769230794,31.891538461538516,32.80857142857144,34.26636363636368,34.957272727272766,32.96600000000001,34.276153846153875,33.435454545454604,32.05444444444447
C119,23.82781291127031,90.41992492305044,33.46692307692314,32.0266666666667,31.399230769230826,32.153333333333364,33.11857142857144,34.94400000000002,34.81181818181824,33.24400000000003,34.97166666666669,33.60272727272729,32.06400000000002
C120,23.82781291127031,90.42890807589164,33.20538461538462,32.166666666666686,31.575714285714298,32.19461538461542,32.99666666666673,34.448000000000036,34.25727272727278,32.942000000000064,34.396666666666704,33.41166666666669,31.373636363636365
C121,23.82781291127031,90.43789122873284,32.51153846153852,32.10846153846154,31.60538461538465,31.255714285714305,32.11933333333337,33.678,33.58636363636367,32.40400000000005,33.58000000000004,32.86666666666673,30.717272727272757
C122,23.82781291127031,90.44687438157403,32.66285714285715,31.84538461538466,31.19500000000005,31.52428571428578,31.902857142857158,33.51000000000005,32.80833333333334,32.185555555555595,33.370000000000005,32.37166666666673,30.355000000000018
C123,23.82781291127031,90.45585753441522,33.094285714285775,32.13000000000005,31.7766666666667,32.123333333333335,32.36857142857144,34.04200000000003,32.950000000000045,32.160000000000025,33.63000000000005,32.36666666666673,30.42833333333334
C124,23.82781291127031,90.46484068725641,32.64000000000004,32.74454545454546,32.138888888888914,32.18333333333334,32.58538461538461,34.478888888888946,33.09307692307692,32.49444444444447,34.025000000000034,32.706666666666706,30.932000000000016
C125,23.82781291127031,90.47382384009761,31.970000000000027,32.99600000000004,31.587500000000034,31.996666666666727,32.417692307692334,34.432500000000005,33.119230769230796,32.44777777777779,34.325000000000045,32.60833333333335,31.140000000000043
C126,23.82781291127031,90.4828069929388,31.983846153846173,33.58111111111111,31.307500000000005,32.605999999999995,32.26538461538462,34.02000000000004,33.16846153846154,32.07200000000006,33.79000000000002,32.578333333333376,31.172000000000025
C127,23.82781291127031,90.49179014578,31.81307692307695,32.638000000000034,30.508000000000038,31.926363636363646,31.660000000000025,33.795000000000016,32.938571428571436,32.09888888888895,33.559230769230794,32.24454545454546,30.850000000000023
C128,23.818829758429114,90.33907654747968,29.999230769230792,29.219090909090937,28.620000000000005,28.553076923076958,29.386000000000024,29.871538461538478,30.390000000000043,29.170000000000016,30.92166666666668,29.26230769230773,28.886000000000024
C129,23.818829758429114,90.34805970032087,31.933636363636367,30.7918181818182,29.860000000000014,30.57666666666671,31.223333333333358,31.545000000000016,32.47333333333336,30.8154545454546,32.660000000000025,31.465384615384664,29.900000000000034
